timestamp,frame,fps,command,position,orientation,left_velocity,right_velocity,detection_time,planning_time,path_length,distance_to_goal,occupancy_percent,traversability_score,static_objects,dynamic_objects
0.23714303970336914,0,0.0,RIGHT,"(60, 110)",345,0.25,-0.25,,0.05530381202697754,66,6.576473218982953,7.701388888888889,0.7460921294591782,7,3
0.5467503070831299,1,1.828955004679883,RIGHT,"(60, 110)",330,0.25,-0.25,,0.05530381202697754,66,6.576473218982953,7.763888888888888,0.7447307293246993,7,3
0.755181074142456,2,2.6483322054793277,RIGHT,"(60, 110)",315,0.25,-0.25,,0.05530381202697754,66,6.576473218982953,7.708333333333334,0.7427859885917222,7,3
0.9465432167053223,3,3.169390716219418,RIGHT,"(60, 110)",300,0.25,-0.25,,0.05530381202697754,66,6.576473218982953,7.819444444444444,0.7407892676260419,7,3
1.1314780712127686,4,3.5351676272756984,RIGHT,"(60, 110)",285,0.25,-0.25,,0.05530381202697754,66,6.576473218982953,7.805555555555556,0.7401829065387248,7,3
1.2975351810455322,5,3.8534275323316676,RIGHT,"(60, 110)",270,0.25,-0.25,,0.05530381202697754,66,6.576473218982953,7.805555555555556,0.7387090465154263,7,3
1.4600582122802734,6,4.109397047025255,FORWARD,"(60, 109)",270,0.5,0.5,,0.05530381202697754,66,6.47765389628066,7.805555555555556,0.7374929664174212,7,3
1.6238760948181152,7,4.310647170597296,FORWARD,"(60, 108)",270,0.5,0.5,,0.05530381202697754,66,6.378871373526826,7.763888888888888,0.7365463411570053,7,3
1.7868123054504395,8,4.477221923857327,FORWARD,"(60, 107)",270,0.5,0.5,,0.05530381202697754,66,6.280127387243033,7.854166666666666,0.7354818409280173,7,3
1.9734992980957031,9,4.560404153496699,FORWARD,"(60, 106)",270,0.5,0.5,,0.05530381202697754,66,6.181423784210238,7.75,0.735285175717121,7,3
2.1482770442962646,10,4.654871436547623,FORWARD,"(60, 105)",270,0.5,0.5,,0.05530381202697754,66,6.082762530298219,7.805555555555556,0.7345617097336034,7,3
2.329306125640869,11,4.722416111283971,FORWARD,"(60, 104)",270,0.5,0.5,,0.05530381202697754,66,5.984145720150872,7.909722222222222,0.7341144039227073,7,3
2.511176347732544,12,4.778617887452003,FORWARD,"(60, 103)",270,0.5,0.5,,0.05530381202697754,66,5.8855755878248655,7.819444444444444,0.7336207881756804,7,3
2.6944420337677,13,4.824728678439998,FORWARD,"(60, 102)",270,0.5,0.5,,0.05530381202697754,66,5.787054518492115,7.777777777777778,0.7333727859010135,7,3
2.876530408859253,14,4.866957528871276,FORWARD,"(60, 101)",270,0.5,0.5,,0.05530381202697754,66,5.688585061331158,7.756944444444444,0.7322054908087906,7,3
3.058502197265625,15,4.904345326270177,FORWARD,"(60, 100)",270,0.5,0.5,,0.05530381202697754,66,5.5901699437494745,7.736111111111112,0.7314396389785722,7,3
3.2401254177093506,16,4.938065215592555,FORWARD,"(60, 99)",270,0.5,0.5,,0.05530381202697754,66,5.491812087098393,7.701388888888889,0.7296268282302537,7,3
3.4216251373291016,17,4.968383066844436,FORWARD,"(60, 98)",270,0.5,0.5,,0.05530381202697754,66,5.3935146240647205,7.659722222222222,0.7291542384238076,7,3
3.60349702835083,18,4.995133867752666,FORWARD,"(60, 97)",270,0.5,0.5,,0.05530381202697754,66,5.2952809179494915,7.673611111111112,0.7284917805928549,7,3
3.784654140472412,19,5.0202605290170785,FORWARD,"(60, 96)",270,0.5,0.5,,0.05530381202697754,66,5.197114584074515,7.708333333333334,0.7276971436465961,7,3
3.966120958328247,20,5.042697835784561,FORWARD,"(60, 95)",270,0.5,0.5,,0.05530381202697754,66,5.0990195135927845,7.798611111111112,0.7277670860254724,7,3
4.153128385543823,21,5.0564162409000675,FORWARD,"(60, 94)",270,0.5,0.5,,0.05530381202697754,66,5.000999900019996,7.798611111111112,0.7286458715711966,7,3
4.337768316268921,22,5.071719845597428,FORWARD,"(60, 93)",270,0.5,0.5,,0.05530381202697754,66,4.903060268852506,7.944444444444445,0.7291287491899802,7,3
4.523203134536743,23,5.084880883543775,FORWARD,"(60, 92)",270,0.5,0.5,,0.05530381202697754,66,4.805205510693586,8.006944444444445,0.7302343452834963,7,3
4.709460020065308,24,5.096114827728999,FORWARD,"(60, 91)",270,0.5,0.5,,0.05530381202697754,66,4.707440918375927,8.097222222222221,0.7292010134692041,7,3
4.895148038864136,25,5.107086168290456,FORWARD,"(60, 90)",270,0.5,0.5,,0.05530381202697754,66,4.6097722286464435,8.13888888888889,0.7299855713948417,7,3
5.0817201137542725,26,5.116367736576188,FORWARD,"(60, 89)",270,0.5,0.5,,0.05530381202697754,66,4.512205669071391,8.270833333333332,0.7280792587315601,7,3
5.267690181732178,27,5.125576450541571,FORWARD,"(60, 88)",270,0.5,0.5,,0.05530381202697754,66,4.4147480109288235,8.256944444444445,0.7290895083176019,7,3
5.452408075332642,28,5.135335091943642,FORWARD,"(60, 87)",270,0.5,0.5,,0.05530381202697754,66,4.317406628984582,8.333333333333332,0.7275286004956318,7,3
5.638582229614258,29,5.143127720371424,FORWARD,"(60, 86)",270,0.5,0.5,,0.05530381202697754,66,4.220189569201838,8.29861111111111,0.7266601591716815,7,3
5.827550172805786,30,5.147951991983628,FORWARD,"(60, 85)",270,0.5,0.5,,0.05530381202697754,66,4.123105625617661,8.45138888888889,0.7247813412629107,7,3
6.0126793384552,31,5.155761979055922,FORWARD,"(60, 84)",270,0.5,0.5,,0.05530381202697754,66,4.026164427839479,8.38888888888889,0.7241760206610174,7,3
